Time [s],Value,Parity Error,Framing Error
-0.0001050000,0x53,,
0.0011300000,0xC2,,
0.0025700000,0x1C,,
0.0041150000,0x00,,
0.0055550000,0x9D,,
0.0071000000,0x1B,,
0.0084350000,0x00,,
0.0099800000,0x0C,,
0.0114200000,0x02,,
0.0127550000,0x01,,
0.0141950000,0x00,,
0.0157400000,0x03,,
0.0172850000,0x00,,
0.6257950000,0x53,,
0.6271350000,0xC2,,
0.6286750000,0x1C,,
0.6301150000,0x00,,
0.6316600000,0x9D,,
0.6331000000,0x1B,,
0.6344400000,0x00,,
0.6358800000,0x0C,,
0.6372150000,0x10,,
0.6385550000,0x10,,
0.6400950000,0x10,,
0.6415350000,0x30,,
0.6428750000,0x00,,
