Time [s],Value,Parity Error,Framing Error
-0.0001000000,0x53,,
0.0013400000,0xC2,,
0.0028800000,0x1C,,
0.0045250000,0x00,,
0.0059650000,0x9D,,
0.0075050000,0x1B,,
0.0090500000,0x00,,
0.0104900000,0x0C,,
0.0120300000,0x02,,
0.0134700000,0x01,,
0.0151150000,0x00,,
0.0165550000,0x03,,
0.0178900000,0x00,,
0.9948800000,0x53,,
0.9962150000,0xC2,,
0.9977600000,0x1C,,
0.9992000000,0x00,,
1.0007400000,0x9D,,
1.0021800000,0x1B,,
1.0036200000,0x00,,
1.0051650000,0x0C,,
1.0065000000,0x02,,
1.0079400000,0x01,,
1.0094850000,0x01,,
1.0110250000,0x04,,
1.0124650000,0x00,,
2.3892000000,0x53,,
2.3907400000,0xC2,,
2.3922850000,0x1C,,
2.3936200000,0x00,,
2.3950600000,0x9D,,
2.3965000000,0x1B,,
2.3979400000,0x00,,
2.3993800000,0x0C,,
2.4007200000,0x02,,
2.4022600000,0x01,,
2.4038050000,0x03,,
2.4052450000,0x06,,
2.4066850000,0x00,,
2.4229300000,0x53,,
2.4243700000,0xC2,,
2.4259150000,0x1C,,
2.4273550000,0x00,,
2.4288950000,0x9D,,
2.4303350000,0x1B,,
2.4318800000,0x00,,
2.4332150000,0x0C,,
2.4346550000,0x01,,
2.4360950000,0x01,,
2.4375350000,0x0E,,
2.4388700000,0x10,,
2.4403100000,0x00,,
2.4806350000,0x53,,
2.4819700000,0xC2,,
2.4834100000,0x1C,,
2.4849550000,0x00,,
2.4863950000,0x9D,,
2.4878350000,0x1B,,
2.4893800000,0x00,,
2.4908200000,0x0C,,
2.4921550000,0x01,,
2.4935950000,0x02,,
2.4950350000,0x0E,,
2.4964750000,0x11,,
2.4979150000,0x00,,
2.5060450000,0x53,,
2.5074850000,0xC2,,
2.5090250000,0x1C,,
2.5105700000,0x00,,
2.5120100000,0x9D,,
2.5134500000,0x1B,,
2.5148900000,0x00,,
2.5163300000,0x0C,,
2.5177700000,0x01,,
2.5192150000,0x03,,
2.5206550000,0x0E,,
2.5221950000,0x12,,
2.5237400000,0x00,,
2.5493500000,0x53,,
2.5507900000,0xC2,,
2.5522300000,0x1C,,
2.5536700000,0x00,,
2.5551100000,0x9D,,
2.5565500000,0x1B,,
2.5579900000,0x00,,
2.5593300000,0x0C,,
2.5607700000,0x01,,
2.5623100000,0x04,,
2.5637500000,0x0E,,
2.5651900000,0x13,,
2.5666300000,0x00,,
2.5912150000,0x53,,
2.5927550000,0xC2,,
2.5941950000,0x1C,,
2.5956350000,0x00,,
2.5970750000,0x9D,,
2.5986200000,0x1B,,
2.6000600000,0x00,,
2.6015000000,0x0C,,
2.6029400000,0x01,,
2.6043800000,0x05,,
2.6058200000,0x0E,,
2.6073600000,0x14,,
2.6087000000,0x00,,
2.6287550000,0x53,,
2.6303000000,0xC2,,
2.6317400000,0x1C,,
2.6332800000,0x00,,
2.6346200000,0x9D,,
2.6361600000,0x1B,,
2.6375000000,0x00,,
2.6390400000,0x0C,,
2.6404800000,0x01,,
2.6420250000,0x06,,
2.6435650000,0x0E,,
2.6450050000,0x15,,
2.6464450000,0x00,,
2.6565250000,0x53,,
2.6579650000,0xC2,,
2.6595050000,0x1C,,
2.6609450000,0x00,,
2.6623850000,0x9D,,
2.6639300000,0x1B,,
2.6653700000,0x00,,
2.6668100000,0x0C,,
2.6682500000,0x01,,
2.6696900000,0x07,,
2.6711300000,0x0E,,
2.6724650000,0x16,,
2.6739050000,0x00,,
2.7123700000,0x53,,
2.7137050000,0xC2,,
2.7152500000,0x1C,,
2.7167900000,0x00,,
2.7183350000,0x9D,,
2.7197750000,0x1B,,
2.7213150000,0x00,,
2.7228600000,0x0C,,
2.7243000000,0x01,,
2.7257400000,0x08,,
2.7271800000,0x0E,,
2.7287200000,0x17,,
2.7301600000,0x00,,
2.7597800000,0x53,,
2.7611200000,0xC2,,
2.7626600000,0x1C,,
2.7642050000,0x00,,
2.7656450000,0x9D,,
2.7671850000,0x1B,,
2.7687300000,0x00,,
2.7702750000,0x0C,,
2.7716100000,0x01,,
2.7731500000,0x09,,
2.7745950000,0x0E,,
2.7760350000,0x18,,
2.7774750000,0x00,,
2.7832350000,0x53,,
2.7847750000,0xC2,,
2.7861150000,0x1C,,
2.7876550000,0x00,,
2.7890950000,0x9D,,
2.7906350000,0x1B,,
2.7920750000,0x00,,
2.7935150000,0x0C,,
2.7949550000,0x01,,
2.7963950000,0x0A,,
2.7979400000,0x0E,,
2.7993800000,0x19,,
2.8009250000,0x00,,
2.8527600000,0x53,,
2.8542000000,0xC2,,
2.8557450000,0x1C,,
2.8572900000,0x00,,
2.8587300000,0x9D,,
2.8602700000,0x1B,,
2.8618150000,0x00,,
2.8632550000,0x0C,,
2.8646950000,0x01,,
2.8661350000,0x09,,
2.8676750000,0x0E,,
2.8692200000,0x18,,
2.8706600000,0x00,,
2.9040900000,0x53,,
2.9051200000,0xC2,,
2.9066600000,0x1C,,
2.9081000000,0x00,,
2.9095400000,0x9D,,
2.9110850000,0x1B,,
2.9126300000,0x00,,
2.9140700000,0x0C,,
2.9156100000,0x01,,
2.9170500000,0x0A,,
2.9185950000,0x0E,,
2.9200350000,0x19,,
2.9213700000,0x00,,
2.9316550000,0x53,,
2.9331000000,0xC2,,
2.9345400000,0x1C,,
2.9358750000,0x00,,
2.9372100000,0x9D,,
2.9387550000,0x1B,,
2.9401950000,0x00,,
2.9416350000,0x0C,,
2.9430750000,0x01,,
2.9445150000,0x0B,,
2.9459550000,0x0E,,
2.9473950000,0x1A,,
2.9487350000,0x00,,
2.9756850000,0x53,,
2.9771200000,0xC2,,
2.9785600000,0x1C,,
2.9800000000,0x00,,
2.9814400000,0x9D,,
2.9828800000,0x1B,,
2.9843200000,0x00,,
2.9857600000,0x0C,,
2.9872000000,0x01,,
2.9886400000,0x0A,,
2.9900800000,0x0E,,
2.9915200000,0x19,,
2.9929600000,0x00,,
3.0075700000,0x53,,
3.0090100000,0xC2,,
3.0104500000,0x1C,,
3.0118900000,0x00,,
3.0133300000,0x9D,,
3.0147700000,0x1B,,
3.0162100000,0x00,,
3.0177500000,0x0C,,
3.0190900000,0x01,,
3.0205300000,0x09,,
3.0219700000,0x0E,,
3.0234100000,0x18,,
3.0248500000,0x00,,
3.0610500000,0x53,,
3.0625900000,0xC2,,
3.0641350000,0x1C,,
3.0655750000,0x00,,
3.0670150000,0x9D,,
3.0684550000,0x1B,,
3.0698950000,0x00,,
3.0714350000,0x0C,,
3.0728750000,0x01,,
3.0744200000,0x08,,
3.0758600000,0x0E,,
3.0773000000,0x17,,
3.0788400000,0x00,,
3.2692100000,0x53,,
3.2706500000,0xC2,,
3.2721950000,0x1C,,
3.2737350000,0x00,,
3.2751750000,0x9D,,
3.2766150000,0x1B,,
3.2781600000,0x00,,
3.2796000000,0x0C,,
3.2811400000,0x01,,
3.2825800000,0x07,,
3.2840200000,0x0E,,
3.2855650000,0x16,,
3.2870050000,0x00,,
3.3500450000,0x53,,
3.3515850000,0xC2,,
3.3529250000,0x1C,,
3.3543650000,0x00,,
3.3559050000,0x9D,,
3.3573450000,0x1B,,
3.3588900000,0x00,,
3.3602250000,0x0C,,
3.3615650000,0x01,,
3.3631050000,0x06,,
3.3645450000,0x0E,,
3.3660900000,0x15,,
3.3675300000,0x00,,
3.4489700000,0x53,,
3.4504100000,0xC2,,
3.4519500000,0x1C,,
3.4533900000,0x00,,
3.4549350000,0x9D,,
3.4563750000,0x1B,,
3.4578150000,0x00,,
3.4593550000,0x0C,,
3.4606900000,0x01,,
3.4622350000,0x05,,
3.4636750000,0x0E,,
3.4653200000,0x14,,
3.4667600000,0x00,,
3.4944200000,0x53,,
3.4959650000,0xC2,,
3.4974050000,0x1C,,
3.4988400000,0x00,,
3.5002800000,0x9D,,
3.5018250000,0x1B,,
3.5033650000,0x00,,
3.5048050000,0x0C,,
3.5063450000,0x01,,
3.5077850000,0x06,,
3.5092250000,0x0E,,
3.5107700000,0x15,,
3.5121050000,0x00,,
3.6091850000,0x53,,
3.6107250000,0xC2,,
3.6122700000,0x1C,,
3.6137100000,0x00,,
3.6151500000,0x9D,,
3.6165900000,0x1B,,
3.6180300000,0x00,,
3.6195700000,0x0C,,
3.6211150000,0x01,,
3.6225550000,0x05,,
3.6239950000,0x0E,,
3.6256400000,0x14,,
3.6270800000,0x00,,
3.6665750000,0x53,,
3.6681150000,0xC2,,
3.6696600000,0x1C,,
3.6711000000,0x00,,
3.6725400000,0x9D,,
3.6739800000,0x1B,,
3.6755200000,0x00,,
3.6769600000,0x0C,,
3.6784000000,0x01,,
3.6798400000,0x04,,
3.6813850000,0x0E,,
3.6828250000,0x13,,
3.6842650000,0x00,,
3.7978100000,0x53,,
3.7992500000,0xC2,,
3.8006900000,0x1C,,
3.8022350000,0x00,,
3.8036750000,0x9D,,
3.8051150000,0x1B,,
3.8065550000,0x00,,
3.8080950000,0x0C,,
3.8094350000,0x01,,
3.8109750000,0x05,,
3.8125200000,0x0E,,
3.8139600000,0x14,,
3.8154000000,0x00,,
3.9619450000,0x53,,
3.9634900000,0xC2,,
3.9649300000,0x1C,,
3.9664700000,0x00,,
3.9679100000,0x9D,,
3.9693500000,0x1B,,
3.9708900000,0x00,,
3.9724350000,0x0C,,
3.9738750000,0x01,,
3.9754150000,0x06,,
3.9769600000,0x0E,,
3.9783950000,0x15,,
3.9799400000,0x00,,
4.0851250000,0x53,,
4.0865600000,0xC2,,
4.0880000000,0x1C,,
4.0895450000,0x00,,
4.0909850000,0x9D,,
4.0924250000,0x1B,,
4.0938650000,0x00,,
4.0954050000,0x0C,,
4.0968450000,0x01,,
4.0982850000,0x05,,
4.0998300000,0x0E,,
4.1013700000,0x14,,
4.1029150000,0x00,,
4.1619400000,0x53,,
4.1634850000,0xC2,,
4.1650250000,0x1C,,
4.1664650000,0x00,,
4.1679050000,0x9D,,
4.1694500000,0x1B,,
4.1709900000,0x00,,
4.1725350000,0x0C,,
4.1739750000,0x01,,
4.1754150000,0x04,,
4.1768550000,0x0E,,
4.1783950000,0x13,,
4.1798350000,0x00,,
4.2573750000,0x53,,
4.2588150000,0xC2,,
4.2602550000,0x1C,,
4.2617950000,0x00,,
4.2633400000,0x9D,,
4.2647800000,0x1B,,
4.2662200000,0x00,,
4.2677600000,0x0C,,
4.2693050000,0x01,,
4.2707450000,0x03,,
4.2721850000,0x0E,,
4.2737250000,0x12,,
4.2749600000,0x00,,
4.5938200000,0x53,,
4.5953600000,0xC2,,
4.5968000000,0x1C,,
4.5983450000,0x00,,
4.5998850000,0x9D,,
4.6014300000,0x1B,,
4.6027650000,0x00,,
4.6043050000,0x0C,,
4.6058500000,0x01,,
4.6072900000,0x02,,
4.6088300000,0x0E,,
4.6103700000,0x11,,
4.6118100000,0x00,,
