Time [s],Value,Parity Error,Framing Error
-0.0001050000,0x53,,
0.0013350000,0xC2,,
0.0027750000,0x1C,,
0.0042150000,0x00,,
0.0056550000,0x9D,,
0.0070950000,0x1B,,
0.0086400000,0x00,,
0.0100800000,0x0C,,
0.0116200000,0x01,,
0.0131650000,0x01,,
0.0146050000,0x0E,,
0.0160450000,0x10,,
0.0175850000,0x00,,
0.1309200000,0x53,,
0.1323600000,0xC2,,
0.1339000000,0x1C,,
0.1354450000,0x00,,
0.1371900000,0x9D,,
0.1386300000,0x1B,,
0.1399700000,0x00,,
0.1414100000,0x0C,,
0.1428450000,0x01,,
0.1443900000,0x02,,
0.1459300000,0x0E,,
0.1474750000,0x11,,
0.1488100000,0x00,,
0.2497900000,0x53,,
0.2513350000,0xC2,,
0.2527750000,0x1C,,
0.2541100000,0x00,,
0.2555500000,0x9D,,
0.2569900000,0x1B,,
0.2584300000,0x00,,
0.2597650000,0x0C,,
0.2612050000,0x01,,
0.2627500000,0x01,,
0.2641900000,0x0E,,
0.2656250000,0x10,,
0.2669650000,0x00,,
0.4163750000,0x53,,
0.4178150000,0xC2,,
0.4193550000,0x1C,,
0.4208950000,0x00,,
0.4223350000,0x9D,,
0.4236750000,0x1B,,
0.4251150000,0x00,,
0.4265550000,0x0C,,
0.4279950000,0x01,,
0.4294350000,0x00,,
0.4309750000,0x0E,,
0.4324150000,0x0F,,
0.4337550000,0x00,,
0.5029550000,0x53,,
0.5043950000,0xC2,,
0.5058350000,0x1C,,
0.5072750000,0x00,,
0.5088150000,0x9D,,
0.5102550000,0x53,,
0.5116950000,0xC2,,
0.5131350000,0x1C,,
0.5145750000,0x00,,
0.5160150000,0x9D,,
0.5175600000,0x1B,,
0.5189950000,0x00,,
0.5204350000,0x0C,,
0.5220800000,0x01,,
0.5235200000,0x00,,
0.5249600000,0x0D,,
0.5265050000,0x0E,,
0.5279450000,0x00,,
0.6338650000,0x53,,
0.6354100000,0xC2,,
0.6368500000,0x1C,,
0.6383900000,0x00,,
0.6398300000,0x9D,,
0.6413700000,0x1B,,
0.6429150000,0x00,,
0.6444550000,0x0C,,
0.6458950000,0x01,,
0.6474400000,0x00,,
0.6489800000,0x0C,,
0.6505250000,0x0D,,
0.6520650000,0x00,,
0.8955150000,0x53,,
0.8970600000,0xC2,,
0.8985000000,0x1C,,
0.8999400000,0x00,,
0.9013800000,0x9D,,
0.9030250000,0x1B,,
0.9046700000,0x00,,
0.9061100000,0x0C,,
0.9076550000,0x01,,
0.9089900000,0x00,,
0.9105350000,0x0B,,
0.9119750000,0x0C,,
0.9134150000,0x00,,
1.0758300000,0x53,,
1.0772700000,0xC2,,
1.0787100000,0x1C,,
1.0801450000,0x00,,
1.0815850000,0x9D,,
1.0831300000,0x1B,,
1.0846700000,0x00,,
1.0861100000,0x0C,,
1.0874500000,0x01,,
1.0889900000,0x00,,
1.0905350000,0x0A,,
1.0920750000,0x0B,,
1.0934150000,0x00,,
1.2558050000,0x53,,
1.2573500000,0xC2,,
1.2587900000,0x1C,,
1.2603300000,0x00,,
1.2617700000,0x9D,,
1.2633150000,0x1B,,
1.2647550000,0x00,,
1.2662950000,0x0C,,
1.2677350000,0x01,,
1.2692800000,0x00,,
1.2708200000,0x09,,
1.2723650000,0x0A,,
1.2738050000,0x00,,
1.4564250000,0x53,,
1.4579700000,0xC2,,
1.4594100000,0x1C,,
1.4609500000,0x00,,
1.4623900000,0x9D,,
1.4639300000,0x1B,,
1.4653700000,0x00,,
1.4669150000,0x0C,,
1.4683550000,0x01,,
1.4697950000,0x00,,
1.4712350000,0x08,,
1.4726700000,0x09,,
1.4742150000,0x00,,
1.5727250000,0x53,,
1.5741600000,0xC2,,
1.5756000000,0x1C,,
1.5769400000,0x00,,
1.5783800000,0x9D,,
1.5799200000,0x1B,,
1.5814600000,0x00,,
1.5829000000,0x0C,,
1.5844450000,0x01,,
1.5858850000,0x00,,
1.5874250000,0x07,,
1.5887600000,0x08,,
1.5902000000,0x00,,
1.6875600000,0x53,,
1.6890000000,0xC2,,
1.6904400000,0x1C,,
1.6918800000,0x00,,
1.6933200000,0x9D,,
1.6947600000,0x1B,,
1.6961950000,0x00,,
1.6976350000,0x0C,,
1.6990750000,0x01,,
1.7005150000,0x00,,
1.7020600000,0x06,,
1.7035000000,0x07,,
1.7050400000,0x00,,
1.7750650000,0x53,,
1.7765050000,0xC2,,
1.7778400000,0x1C,,
1.7793850000,0x00,,
1.7808250000,0x9D,,
1.7822600000,0x1B,,
1.7837000000,0x00,,
1.7851400000,0x0C,,
1.7865800000,0x01,,
1.7881250000,0x00,,
1.7896650000,0x07,,
1.7911050000,0x08,,
1.7925450000,0x00,,
1.8084800000,0x53,,
1.8099200000,0xC2,,
1.8113600000,0x1C,,
1.8128000000,0x00,,
1.8142400000,0x9D,,
1.8157800000,0x1B,,
1.8173250000,0x00,,
1.8187650000,0x0C,,
1.8201000000,0x01,,
1.8215400000,0x00,,
1.8229800000,0x06,,
1.8244200000,0x07,,
1.8259600000,0x00,,
2.2286850000,0x53,,
2.2301250000,0xC2,,
2.2315650000,0x1C,,
2.2331050000,0x00,,
2.2345450000,0x9D,,
2.2359850000,0x1B,,
2.2374250000,0x00,,
2.2388650000,0x0C,,
2.2403050000,0x01,,
2.2417450000,0x00,,
2.2431850000,0x05,,
2.2447250000,0x06,,
2.2461650000,0x00,,
2.3873550000,0x53,,
2.3884850000,0xC2,,
2.3899250000,0x1C,,
2.3914700000,0x00,,
2.3929100000,0x9D,,
2.3944500000,0x1B,,
2.3959950000,0x00,,
2.3974350000,0x0C,,
2.3988750000,0x01,,
2.4003150000,0x00,,
2.4017550000,0x04,,
2.4031950000,0x05,,
2.4046350000,0x00,,
2.5337100000,0x53,,
2.5351500000,0xC2,,
2.5366950000,0x1C,,
2.5382350000,0x00,,
2.5397800000,0x9D,,
2.5413200000,0x1B,,
2.5427600000,0x00,,
2.5442000000,0x0C,,
2.5456400000,0x01,,
2.5469800000,0x00,,
2.5485200000,0x05,,
2.5500650000,0x06,,
2.5515050000,0x00,,
2.6265800000,0x53,,
2.6280200000,0xC2,,
2.6295600000,0x1C,,
2.6311050000,0x00,,
2.6325450000,0x9D,,
2.6339850000,0x1B,,
2.6354250000,0x00,,
2.6368650000,0x0C,,
2.6383050000,0x01,,
2.6397450000,0x00,,
2.6412850000,0x04,,
2.6427250000,0x05,,
2.6441650000,0x00,,
2.8068750000,0x53,,
2.8083150000,0xC2,,
2.8097550000,0x1C,,
2.8111950000,0x00,,
2.8125300000,0x9D,,
2.8139700000,0x1B,,
2.8155150000,0x00,,
2.8169550000,0x0C,,
2.8183950000,0x01,,
2.8198350000,0x00,,
2.8213800000,0x03,,
2.8227150000,0x04,,
2.8242600000,0x00,,
2.8466800000,0x53,,
2.8482250000,0xC2,,
2.8496650000,0x1C,,
2.8512050000,0x00,,
2.8527500000,0x9D,,
2.8540850000,0x1B,,
2.8556300000,0x00,,
2.8570700000,0x0C,,
2.8584050000,0x01,,
2.8599500000,0x00,,
2.8614900000,0x03,,
2.8629300000,0x04,,
2.8643700000,0x00,,
2.9336000000,0x53,,
2.9350400000,0xC2,,
2.9364800000,0x1C,,
2.9379200000,0x00,,
2.9393600000,0x9D,,
2.9409050000,0x1B,,
2.9423450000,0x00,,
2.9437850000,0x0C,,
2.9452250000,0x01,,
2.9466650000,0x00,,
2.9481050000,0x03,,
2.9495450000,0x04,,
2.9509850000,0x00,,
3.1257450000,0x53,,
3.1271850000,0xC2,,
3.1287300000,0x1C,,
3.1302750000,0x00,,
3.1317150000,0x9D,,
3.1331550000,0x1B,,
3.1346950000,0x00,,
3.1361350000,0x0C,,
3.1375750000,0x01,,
3.1390150000,0x01,,
3.1405600000,0x03,,
3.1420000000,0x05,,
3.1434400000,0x00,,
3.2605900000,0x53,,
3.2621350000,0xC2,,
3.2635750000,0x1C,,
3.2651150000,0x00,,
3.2666600000,0x9D,,
3.2681000000,0x1B,,
3.2695400000,0x00,,
3.2710800000,0x0C,,
3.2725200000,0x01,,
3.2739600000,0x00,,
3.2754000000,0x03,,
3.2769400000,0x04,,
3.2783800000,0x00,,
3.3157150000,0x53,,
3.3172600000,0xC2,,
3.3188000000,0x1C,,
3.3203450000,0x00,,
3.3217850000,0x9D,,
3.3233300000,0x1B,,
3.3245650000,0x00,,
3.3260050000,0x0C,,
3.3274450000,0x01,,
3.3288850000,0x00,,
3.3304250000,0x03,,
3.3317650000,0x04,,
3.3332050000,0x00,,
3.3657100000,0x53,,
3.3671500000,0xC2,,
3.3686950000,0x1C,,
3.3701350000,0x00,,
3.3715750000,0x9D,,
3.3731200000,0x1B,,
3.3746600000,0x00,,
3.3761000000,0x0C,,
3.3776450000,0x01,,
3.3790850000,0x00,,
3.3807300000,0x03,,
3.3822750000,0x04,,
3.3838150000,0x00,,
3.7832550000,0x53,,
3.7846950000,0xC2,,
3.7861350000,0x1C,,
3.7875750000,0x00,,
3.7891150000,0x9D,,
3.7905550000,0x1B,,
3.7919950000,0x00,,
3.7936400000,0x0C,,
3.7950800000,0x01,,
3.7965200000,0x01,,
3.7979600000,0x03,,
3.7994000000,0x05,,
3.8008400000,0x00,,
3.9953050000,0x53,,
3.9968500000,0xC2,,
3.9983900000,0x1C,,
3.9999350000,0x00,,
4.0013750000,0x9D,,
4.0028150000,0x1B,,
4.0043550000,0x00,,
4.0057950000,0x0C,,
4.0072350000,0x01,,
4.0086750000,0x01,,
4.0101150000,0x03,,
4.0115550000,0x05,,
4.0129950000,0x00,,
4.1457700000,0x53,,
4.1472100000,0xC2,,
4.1487500000,0x1C,,
4.1501900000,0x00,,
4.1516300000,0x9D,,
4.1531750000,0x1B,,
4.1546150000,0x00,,
4.1560550000,0x0C,,
4.1573900000,0x01,,
4.1589350000,0x01,,
4.1603750000,0x02,,
4.1617100000,0x04,,
4.1631500000,0x00,,
4.2710350000,0x53,,
4.2724750000,0xC2,,
4.2739150000,0x1C,,
4.2753550000,0x00,,
4.2767950000,0x9D,,
4.2783400000,0x1B,,
4.2797800000,0x00,,
4.2812200000,0x0C,,
4.2827600000,0x01,,
4.2843050000,0x01,,
4.2858450000,0x01,,
4.2873900000,0x03,,
4.2888300000,0x00,,
4.3321300000,0x53,,
4.3335700000,0xC2,,
4.3351100000,0x1C,,
4.3366550000,0x00,,
4.3379900000,0x9D,,
4.3394300000,0x1B,,
4.3408700000,0x00,,
