Time [s],Value,Parity Error,Framing Error
-0.0001050000,0x53,,
0.0013350000,0xC2,,
0.0027750000,0x1C,,
0.0043200000,0x00,,
0.0058600000,0x9D,,
0.0073050000,0x1B,,
0.0087450000,0x00,,
0.0101850000,0x0C,,
0.0116250000,0x01,,
0.0130650000,0x00,,
0.0145050000,0x00,,
0.0160450000,0x01,,
0.0174850000,0x00,,
0.2356800000,0x53,,
0.2371200000,0xC2,,
0.2386650000,0x1C,,
0.2402100000,0x00,,
0.2417500000,0x9D,,
0.2430900000,0x1B,,
0.2446300000,0x00,,
0.2460750000,0x0C,,
0.2475150000,0x01,,
0.2488500000,0x00,,
0.2502900000,0x00,,
0.2517300000,0x01,,
0.2530700000,0x00,,
0.3958650000,0x53,,
0.3973050000,0xC2,,
0.3987450000,0x1C,,
0.4002900000,0x00,,
0.4017300000,0x9D,,
0.4031700000,0x1B,,
0.4047100000,0x00,,
0.4062550000,0x0C,,
0.4076950000,0x01,,
0.4092350000,0x00,,
0.4107800000,0x00,,
0.4123250000,0x01,,
0.4137650000,0x00,,
0.7486050000,0x53,,
0.7501500000,0xC2,,
0.7515900000,0x1C,,
0.7530300000,0x00,,
0.7545750000,0x9D,,
0.7561150000,0x1B,,
0.7575550000,0x00,,
0.7591000000,0x0C,,
0.7604350000,0x02,,
0.7619800000,0x02,,
0.7635250000,0x00,,
0.7649650000,0x04,,
0.7664050000,0x00,,
1.5881850000,0x53,,
1.5897250000,0xC2,,
1.5911650000,0x1C,,
1.5926050000,0x00,,
1.5941500000,0x9D,,
1.5956900000,0x1B,,
1.5972350000,0x00,,
1.5987800000,0x0C,,
1.6002200000,0x02,,
1.6016600000,0x00,,
1.6031000000,0x00,,
1.6046400000,0x02,,
1.6060800000,0x00,,
2.2070350000,0x53,,
2.2084750000,0xC2,,
2.2100200000,0x1C,,
2.2115600000,0x00,,
2.2131050000,0x9D,,
2.2145450000,0x1B,,
2.2160900000,0x00,,
2.2175300000,0x0C,,
2.2189700000,0x02,,
2.2204100000,0x01,,
2.2219500000,0x00,,
2.2236000000,0x03,,
2.2250400000,0x00,,
2.9119200000,0x53,,
2.9134600000,0xC2,,
2.9149050000,0x1C,,
2.9163450000,0x00,,
2.9177850000,0x9D,,
2.9192250000,0x1B,,
2.9206650000,0x00,,
2.9222100000,0x0C,,
2.9236500000,0x02,,
2.9250900000,0x02,,
2.9266350000,0x00,,
2.9280750000,0x04,,
2.9296150000,0x00,,
3.6195100000,0x53,,
3.6210500000,0xC2,,
3.6224900000,0x1C,,
3.6239300000,0x00,,
3.6253700000,0x9D,,
3.6269150000,0x1B,,
3.6284550000,0x00,,
3.6298950000,0x0C,,
3.6314400000,0x02,,
3.6329800000,0x00,,
3.6345250000,0x00,,
3.6360650000,0x02,,
3.6376100000,0x00,,
4.3247750000,0x53,,
4.3263200000,0xC2,,
4.3277600000,0x1C,,
4.3293000000,0x00,,
4.3308450000,0x9D,,
4.3321800000,0x1B,,
4.3338300000,0x00,,
4.3353700000,0x0C,,
4.3369150000,0x02,,
4.3383550000,0x01,,
4.3399000000,0x00,,
4.3413400000,0x03,,
4.3427800000,0x00,,
