Time [s],Value,Parity Error,Framing Error
-0.1846350000,0x53,,
-0.1831950000,0xC2,,
-0.1816500000,0x1C,,
-0.1801100000,0x00,,
-0.1786700000,0x9D,,
-0.1771250000,0x1B,,
-0.1755850000,0x00,,
-0.1740400000,0x0C,,
-0.1727050000,0x01,,
-0.1711600000,0x00,,
-0.1696150000,0x00,,
-0.1680750000,0x01,,
-0.1667350000,0x00,,
-0.1092450000,0x53,,
-0.1078050000,0xC2,,
-0.1062600000,0x1C,,
-0.1048200000,0x00,,
-0.1034850000,0x9D,,
-0.1019400000,0x1B,,
-0.1003950000,0x00,,
-0.0989550000,0x0C,,
-0.0975150000,0x01,,
-0.0960750000,0x00,,
-0.0945350000,0x00,,
-0.0929900000,0x01,,
-0.0916550000,0x00,,
-0.0001050000,0x53,,
0.0014350000,0xC2,,
0.0028750000,0x1C,,
0.0043150000,0x00,,
0.0057550000,0x9D,,
0.0071950000,0x1B,,
0.0087400000,0x00,,
0.0102800000,0x0C,,
0.0117200000,0x01,,
0.0132650000,0x00,,
0.0148050000,0x00,,
0.0162450000,0x01,,
0.0176850000,0x00,,
0.2136100000,0x53,,
0.2150500000,0xC2,,
0.2165900000,0x1C,,
0.2180300000,0x00,,
0.2195750000,0x9D,,
0.2210150000,0x1B,,
0.2224550000,0x00,,
0.2240000000,0x0C,,
0.2254400000,0x01,,
0.2268800000,0x00,,
0.2284200000,0x00,,
0.2299650000,0x01,,
0.2314050000,0x00,,
0.5521900000,0x53,,
0.5535300000,0xC2,,
0.5550700000,0x1C,,
0.5565100000,0x00,,
0.5580550000,0x9D,,
0.5594900000,0x1B,,
0.5609300000,0x00,,
0.5623700000,0x0C,,
0.5638100000,0x01,,
0.5653550000,0x00,,
0.5667950000,0x01,,
0.5681300000,0x02,,
0.5695700000,0x00,,
0.8005500000,0x53,,
0.8019850000,0xC2,,
0.8034250000,0x1C,,
0.8047650000,0x00,,
0.8063050000,0x9D,,
0.8078450000,0x1B,,
0.8092850000,0x00,,
0.8108300000,0x0C,,
0.8122700000,0x01,,
0.8138100000,0x00,,
0.8152500000,0x00,,
0.8166900000,0x01,,
0.8180250000,0x00,,
0.9264050000,0x53,,
0.9279500000,0xC2,,
0.9293850000,0x1C,,
0.9308250000,0x00,,
0.9323700000,0x9D,,
0.9338100000,0x1B,,
0.9352500000,0x00,,
0.9366900000,0x0C,,
0.9382300000,0x01,,
0.9396700000,0x00,,
0.9411100000,0x00,,
0.9425500000,0x01,,
0.9439900000,0x00,,
1.1462850000,0x53,,
1.1478250000,0xC2,,
1.1492650000,0x1C,,
1.1508100000,0x00,,
1.1523500000,0x9D,,
1.1537900000,0x1B,,
1.1552300000,0x00,,
1.1567750000,0x0C,,
1.1582150000,0x01,,
1.1597550000,0x00,,
1.1610950000,0x00,,
1.1625350000,0x01,,
1.1640750000,0x00,,
1.3903300000,0x53,,
1.3918750000,0xC2,,
1.3934150000,0x1C,,
1.3949600000,0x00,,
1.3965000000,0x9D,,
1.3979400000,0x1B,,
1.3993800000,0x00,,
1.4009250000,0x0C,,
1.4024650000,0x01,,
1.4039050000,0x00,,
1.4054500000,0x00,,
1.4068900000,0x01,,
1.4084300000,0x00,,
1.5412000000,0x53,,
1.5424350000,0xC2,,
1.5438700000,0x1C,,
1.5454150000,0x00,,
1.5469550000,0x9D,,
1.5483950000,0x1B,,
1.5499400000,0x00,,
1.5514800000,0x0C,,
1.5530250000,0x01,,
1.5544650000,0x00,,
1.5559050000,0x01,,
1.5573450000,0x02,,
1.5587850000,0x00,,
1.6180100000,0x53,,
1.6194500000,0xC2,,
1.6209950000,0x1C,,
1.6224350000,0x00,,
1.6238750000,0x9D,,
1.6253100000,0x1B,,
1.6268550000,0x00,,
1.6283950000,0x0C,,
1.6297350000,0x01,,
1.6312750000,0x00,,
1.6327150000,0x00,,
1.6341550000,0x01,,
1.6355950000,0x00,,
1.7268050000,0x53,,
1.7283500000,0xC2,,
1.7297850000,0x1C,,
1.7313300000,0x00,,
1.7327700000,0x9D,,
1.7342100000,0x1B,,
1.7357500000,0x00,,
1.7371900000,0x0C,,
1.7386300000,0x01,,
1.7402750000,0x00,,
1.7417150000,0x00,,
1.7432600000,0x01,,
1.7445950000,0x00,,
1.8064950000,0x53,,
1.8078350000,0xC2,,
1.8092750000,0x1C,,
1.8108150000,0x00,,
1.8122550000,0x9D,,
1.8137950000,0x1B,,
1.8152350000,0x00,,
1.8166750000,0x0C,,
1.8181150000,0x01,,
1.8195550000,0x00,,
1.8210950000,0x00,,
1.8225350000,0x01,,
1.8239750000,0x00,,
1.8858600000,0x53,,
1.8873000000,0xC2,,
1.8887400000,0x1C,,
1.8902850000,0x00,,
1.8917200000,0x9D,,
1.8931600000,0x1B,,
1.8947050000,0x00,,
1.8961450000,0x0C,,
1.8976850000,0x01,,
1.8991250000,0x00,,
1.9005650000,0x00,,
1.9020050000,0x01,,
1.9035450000,0x00,,
1.9668750000,0x53,,
1.9683150000,0xC2,,
1.9698600000,0x1C,,
1.9714000000,0x00,,
1.9728400000,0x9D,,
1.9741750000,0x1B,,
1.9757200000,0x00,,
1.9772600000,0x0C,,
1.9787000000,0x01,,
1.9801400000,0x00,,
1.9815800000,0x01,,
1.9831200000,0x02,,
1.9846600000,0x00,,
2.1095650000,0x53,,
2.1110050000,0xC2,,
2.1125450000,0x1C,,
2.1141900000,0x00,,
2.1156300000,0x9D,,
2.1169650000,0x1B,,
2.1184050000,0x00,,
2.1199450000,0x0C,,
2.1213850000,0x01,,
2.1228250000,0x00,,
2.1243650000,0x00,,
2.1259100000,0x01,,
2.1273500000,0x00,,
2.1943800000,0x53,,
2.1958200000,0xC2,,
2.1973600000,0x1C,,
2.1988000000,0x00,,
2.2003400000,0x9D,,
2.2017800000,0x1B,,
2.2033200000,0x00,,
2.2047600000,0x0C,,
2.2062000000,0x01,,
2.2076400000,0x00,,
2.2090800000,0x00,,
2.2106200000,0x01,,
2.2119550000,0x00,,
2.2612000000,0x53,,
2.2626400000,0xC2,,
2.2640800000,0x1C,,
2.2655200000,0x00,,
2.2670600000,0x9D,,
2.2686000000,0x1B,,
2.2700400000,0x00,,
2.2713800000,0x0C,,
2.2726100000,0x01,,
2.2738450000,0x00,,
2.2753850000,0x01,,
2.2768250000,0x02,,
2.2782650000,0x00,,
2.2995450000,0x53,,
2.3008800000,0xC2,,
2.3023200000,0x1C,,
2.3037600000,0x00,,
2.3053000000,0x9D,,
2.3068400000,0x1B,,
2.3082800000,0x00,,
2.3098250000,0x0C,,
2.3113650000,0x01,,
2.3128050000,0x00,,
2.3143450000,0x00,,
2.3158900000,0x01,,
2.3173300000,0x00,,
2.3446700000,0x53,,
2.3461100000,0xC2,,
2.3475450000,0x1C,,
2.3489850000,0x00,,
2.3504250000,0x9D,,
2.3517600000,0x1B,,
2.3533000000,0x00,,
2.3547400000,0x0C,,
2.3561800000,0x01,,
2.3576200000,0x00,,
2.3590600000,0x01,,
2.3604950000,0x02,,
2.3618350000,0x00,,
2.4162150000,0x53,,
2.4176550000,0xC2,,
2.4191950000,0x1C,,
2.4207350000,0x00,,
2.4220750000,0x9D,,
2.4235150000,0x1B,,
2.4249500000,0x00,,
2.4264950000,0x0C,,
2.4279350000,0x01,,
2.4293750000,0x00,,
2.4309150000,0x02,,
2.4324550000,0x03,,
2.4338950000,0x00,,
2.4933200000,0x53,,
2.4947600000,0xC2,,
2.4962000000,0x1C,,
2.4977400000,0x00,,
2.4990750000,0x9D,,
2.5006200000,0x1B,,
2.5020600000,0x00,,
2.5034950000,0x0C,,
2.5050400000,0x01,,
2.5064800000,0x00,,
2.5079200000,0x03,,
2.5093550000,0x04,,
2.5106950000,0x00,,
2.5899550000,0x53,,
2.5915000000,0xC2,,
2.5930400000,0x1C,,
2.5944800000,0x00,,
2.5958150000,0x9D,,
2.5973600000,0x1B,,
2.5988000000,0x00,,
2.6001350000,0x0C,,
2.6015750000,0x01,,
2.6030150000,0x00,,
2.6044550000,0x04,,
2.6057900000,0x05,,
2.6072300000,0x00,,
2.6160700000,0x53,,
2.6175100000,0xC2,,
2.6190500000,0x1C,,
2.6204900000,0x00,,
2.6219300000,0x9D,,
2.6233700000,0x1B,,
2.6249100000,0x00,,
2.6264550000,0x0C,,
2.6278950000,0x01,,
2.6294350000,0x00,,
2.6308750000,0x05,,
2.6323150000,0x06,,
2.6336500000,0x00,,
2.6496850000,0x53,,
2.6511250000,0xC2,,
2.6526700000,0x1C,,
2.6538000000,0x00,,
2.6552400000,0x9D,,
2.6566800000,0x1B,,
2.6582200000,0x00,,
2.6597650000,0x0C,,
2.6611000000,0x01,,
2.6625400000,0x00,,
2.6640850000,0x04,,
2.6655250000,0x05,,
2.6670650000,0x00,,
2.7027400000,0x53,,
2.7042800000,0xC2,,
2.7058200000,0x1C,,
2.7072600000,0x00,,
2.7087000000,0x9D,,
2.7101400000,0x1B,,
2.7115800000,0x00,,
2.7130150000,0x0C,,
2.7144550000,0x01,,
2.7158950000,0x00,,
2.7174350000,0x05,,
2.7189800000,0x06,,
2.7204150000,0x00,,
2.7485850000,0x53,,
2.7500250000,0xC2,,
2.7514650000,0x1C,,
2.7529050000,0x00,,
2.7543450000,0x9D,,
2.7557850000,0x1B,,
2.7571200000,0x00,,
2.7585600000,0x0C,,
2.7600000000,0x01,,
2.7615400000,0x00,,
2.7630800000,0x06,,
2.7645200000,0x07,,
2.7660650000,0x00,,
2.7697650000,0x53,,
2.7713050000,0xC2,,
2.7728500000,0x1C,,
2.7742900000,0x00,,
2.7758300000,0x9D,,
2.7773750000,0x1B,,
2.7788100000,0x00,,
2.7803550000,0x0C,,
2.7817950000,0x01,,
2.7833350000,0x00,,
2.7847750000,0x07,,
2.7863200000,0x08,,
2.7877600000,0x00,,
2.8241550000,0x53,,
2.8255950000,0xC2,,
2.8270350000,0x1C,,
2.8284750000,0x00,,
2.8298100000,0x9D,,
2.8314550000,0x1B,,
2.8328950000,0x00,,
2.8344350000,0x0C,,
2.8358750000,0x01,,
2.8373150000,0x00,,
2.8387550000,0x08,,
2.8401950000,0x09,,
2.8415300000,0x00,,
2.8496550000,0x53,,
2.8510950000,0xC2,,
2.8526350000,0x1C,,
2.8539750000,0x00,,
2.8554100000,0x9D,,
2.8568500000,0x1B,,
2.8584950000,0x00,,
2.8599350000,0x0C,,
2.8612700000,0x01,,
2.8628150000,0x00,,
2.8643550000,0x09,,
2.8659000000,0x0A,,
2.8672350000,0x00,,
2.8729950000,0x53,,
2.8745350000,0xC2,,
2.8760800000,0x1C,,
2.8776200000,0x00,,
2.8790600000,0x9D,,
2.8805000000,0x1B,,
2.8819400000,0x00,,
2.8832800000,0x0C,,
2.8847200000,0x01,,
2.8862600000,0x00,,
2.8875950000,0x0A,,
2.8890350000,0x0B,,
2.8904750000,0x00,,
2.9251300000,0x53,,
2.9264700000,0xC2,,
2.9279100000,0x1C,,
2.9294500000,0x00,,
2.9309950000,0x9D,,
2.9325350000,0x1B,,
2.9339750000,0x00,,
2.9354150000,0x0C,,
2.9367550000,0x01,,
2.9381950000,0x00,,
2.9396300000,0x0B,,
2.9411750000,0x0C,,
2.9427200000,0x00,,
2.9547550000,0x53,,
2.9560900000,0xC2,,
2.9576350000,0x1C,,
2.9591750000,0x00,,
2.9606150000,0x9D,,
2.9621600000,0x1B,,
2.9637050000,0x00,,
2.9651450000,0x0C,,
2.9664800000,0x01,,
2.9679200000,0x00,,
2.9693600000,0x0C,,
2.9708000000,0x0D,,
2.9721400000,0x00,,
2.9822150000,0x53,,
2.9835550000,0xC2,,
2.9850950000,0x1C,,
2.9864350000,0x00,,
2.9878750000,0x9D,,
2.9893150000,0x1B,,
2.9907550000,0x00,,
2.9920900000,0x0C,,
2.9936350000,0x01,,
2.9950750000,0x00,,
2.9965150000,0x0D,,
2.9979550000,0x0E,,
2.9993900000,0x00,,
3.0177000000,0x53,,
3.0192400000,0xC2,,
3.0206800000,0x1C,,
3.0221200000,0x00,,
3.0235600000,0x9D,,
3.0250000000,0x1B,,
3.0264400000,0x00,,
3.0277750000,0x0C,,
3.0293200000,0x01,,
3.0307600000,0x00,,
3.0323000000,0x0C,,
3.0337400000,0x0D,,
3.0351800000,0x00,,
3.0598600000,0x53,,
3.0614000000,0xC2,,
3.0628400000,0x1C,,
3.0643850000,0x00,,
3.0658250000,0x9D,,
3.0672650000,0x1B,,
3.0689100000,0x00,,
3.0703450000,0x0C,,
3.0718900000,0x01,,
3.0734300000,0x00,,
3.0749750000,0x0D,,
3.0764150000,0x0E,,
3.0779550000,0x00,,
3.0910150000,0x53,,
3.0924550000,0xC2,,
3.0938950000,0x1C,,
3.0952300000,0x00,,
3.0966700000,0x9D,,
3.0982150000,0x1B,,
3.0996550000,0x00,,
3.1010950000,0x0C,,
3.1026350000,0x01,,
3.1040750000,0x00,,
3.1055150000,0x0E,,
3.1069550000,0x0F,,
3.1083950000,0x00,,
3.1213550000,0x53,,
3.1227950000,0xC2,,
3.1243350000,0x1C,,
3.1257750000,0x00,,
3.1272150000,0x9D,,
3.1287550000,0x1B,,
3.1303000000,0x00,,
3.1318400000,0x0C,,
3.1332800000,0x01,,
3.1348250000,0x00,,
3.1362650000,0x0F,,
3.1377050000,0x10,,
3.1391450000,0x00,,
3.1449000000,0x53,,
3.1463400000,0xC2,,
3.1477800000,0x1C,,
3.1493250000,0x00,,
