Time [s],Value,Parity Error,Framing Error
0.4858000000,0x53,,
0.4873350000,0xB0,,
0.4887700000,0x1B,,
0.4902050000,0x00,,
0.4916500000,0xFD,,
0.4929850000,0x1E,,
0.4945200000,0x00,,
0.4959650000,0x0C,,
0.4974000000,0x01,,
0.4988350000,0x16,,
0.5002700000,0x0E,,
0.5016150000,0x25,,
0.5030500000,0x00,,
0.5308650000,0x53,,
0.5323800000,0xB0,,
0.5338900000,0x1B,,
0.5353950000,0x00,,
0.5368350000,0xFD,,
0.5382700000,0x1E,,
0.5397050000,0x00,,
0.5410500000,0x0C,,
0.5424850000,0x01,,
0.5441150000,0x15,,
0.5455550000,0x0E,,
0.5469950000,0x24,,
0.5483300000,0x00,,
0.5687750000,0x53,,
0.5702100000,0xB0,,
0.5718550000,0x1B,,
0.5732900000,0x00,,
0.5746250000,0xFD,,
0.5760700000,0x1E,,
0.5775050000,0x00,,
0.5790350000,0x0C,,
0.5804750000,0x01,,
0.5820150000,0x14,,
0.5833500000,0x0E,,
0.5847850000,0x23,,
0.5862300000,0x00,,
0.6061650000,0x53,,
0.6076800000,0xB0,,
0.6090800000,0x1B,,
0.6104950000,0x00,,
0.6119350000,0xFD,,
0.6133700000,0x1E,,
0.6148050000,0x00,,
0.6161500000,0x0C,,
0.6175850000,0x01,,
0.6190200000,0x13,,
0.6205600000,0x0E,,
0.6219000000,0x22,,
0.6234350000,0x00,,
0.6818000000,0x53,,
0.6832350000,0xB0,,
0.6847700000,0x1B,,
0.6863100000,0x00,,
0.6878450000,0xFD,,
0.6891800000,0x1E,,
0.6907250000,0x00,,
0.6922550000,0x0C,,
0.6936900000,0x01,,
0.6953250000,0x12,,
0.6968650000,0x0E,,
0.6982000000,0x21,,
0.6995400000,0x00,,
0.8829800000,0x53,,
0.8844150000,0xB0,,
0.8858600000,0x1B,,
0.8872950000,0x00,,
0.8887300000,0xFD,,
0.8901650000,0x1E,,
0.8916100000,0x00,,
0.8930450000,0x0C,,
0.8943800000,0x01,,
0.8958250000,0x13,,
0.8971650000,0x0E,,
0.8986950000,0x22,,
0.9000350000,0x00,,
0.9366350000,0x53,,
0.9380700000,0xB0,,
0.9396050000,0x1B,,
0.9410500000,0x00,,
0.9424850000,0xFD,,
0.9439200000,0x1E,,
0.9453550000,0x00,,
0.9468950000,0x0C,,
0.9483300000,0x01,,
0.9496700000,0x14,,
0.9511100000,0x0E,,
0.9524500000,0x23,,
0.9538850000,0x00,,
0.9745250000,0x53,,
0.9758700000,0xB0,,
0.9773050000,0x1B,,
0.9788400000,0x00,,
0.9801750000,0xFD,,
0.9816200000,0x1E,,
0.9830550000,0x00,,
0.9845900000,0x0C,,
0.9860350000,0x01,,
0.9874700000,0x15,,
0.9888050000,0x0E,,
0.9904350000,0x24,,
0.9917800000,0x00,,
1.0059250000,0x53,,
1.0074600000,0xB0,,
1.0088950000,0x1B,,
1.0103300000,0x00,,
1.0117750000,0xFD,,
1.0132100000,0x1E,,
1.0145450000,0x00,,
1.0159900000,0x0C,,
1.0174250000,0x01,,
1.0188600000,0x16,,
1.0203950000,0x0E,,
1.0215400000,0x25,,
1.0230750000,0x00,,
1.0412750000,0x53,,
1.0426750000,0xB0,,
1.0442000000,0x1B,,
1.0484150000,0x1E,,
1.0555750000,0x0E,,
1.0570150000,0x26,,
1.0585500000,0x00,,
1.0769300000,0x53,,
1.0783650000,0xB0,,
1.0798000000,0x1B,,
1.0811450000,0x00,,
1.0825800000,0xFD,,
1.0841100000,0x1E,,
1.0855500000,0x00,,
1.0868950000,0x0C,,
1.0884250000,0x01,,
1.0897650000,0x17,,
1.0912050000,0x0E,,
1.0926400000,0x26,,
1.0940750000,0x00,,
1.1067450000,0x53,,
1.1081800000,0xB0,,
1.1096150000,0x1B,,
1.1110600000,0x00,,
1.1125950000,0xFD,,
1.1139300000,0x1E,,
1.1153650000,0x00,,
1.1167100000,0x0C,,
1.1181450000,0x01,,
1.1195800000,0x17,,
1.1210250000,0x0E,,
1.1224600000,0x26,,
1.1238000000,0x00,,
1.1402000000,0xB0,,
1.1444250000,0xFD,,
1.1459450000,0x1E,,
1.1473500000,0x00,,
1.1488600000,0x0C,,
1.1532100000,0x0E,,
1.1548400000,0x26,,
1.1563800000,0x00,,
1.1976100000,0x53,,
1.1991400000,0xB0,,
1.2006800000,0x1B,,
1.2022150000,0x00,,
1.2036500000,0xFD,,
1.2052850000,0x1E,,
1.2067300000,0x00,,
1.2082600000,0x0C,,
1.2097950000,0x01,,
1.2113350000,0x17,,
1.2129700000,0x0E,,
1.2146000000,0x26,,
1.2161450000,0x00,,
1.5857200000,0x53,,
1.5872550000,0xB0,,
1.5887900000,0x1B,,
1.5903250000,0x00,,
1.5918650000,0xFD,,
1.5932000000,0x1E,,
1.5949300000,0x00,,
1.5963750000,0x0C,,
1.5979100000,0x01,,
1.5994450000,0x17,,
1.6009850000,0x0E,,
1.6025200000,0x26,,
1.6041500000,0x00,,
1.6310050000,0x53,,
1.6325350000,0xB0,,
1.6340700000,0x1B,,
1.6354050000,0x00,,
1.6370450000,0xFD,,
1.6385800000,0x1E,,
1.6401150000,0x00,,
1.6416550000,0x0C,,
1.6431900000,0x01,,
1.6447000000,0x17,,
1.6729550000,0x53,,
1.6744900000,0xB0,,
1.6760300000,0x1B,,
1.6775650000,0x00,,
1.6790950000,0xFD,,
1.6805300000,0x1E,,
1.6820750000,0x00,,
1.6835100000,0x0C,,
1.6850450000,0x01,,
1.6865850000,0x17,,
1.6882150000,0x0E,,
1.6897500000,0x26,,
1.6910950000,0x00,,
1.7039550000,0x53,,
1.7054850000,0xB0,,
1.7070300000,0x1B,,
1.7086600000,0x00,,
1.7100000000,0xFD,,
1.7115400000,0x1E,,
1.7130750000,0x00,,
1.7146050000,0x0C,,
1.7160500000,0x01,,
1.7176850000,0x17,,
1.7191200000,0x0E,,
1.7206500000,0x26,,
1.7219950000,0x00,,
1.7338700000,0x53,,
1.7355050000,0xB0,,
1.7369450000,0x1B,,
1.7384800000,0x00,,
1.7400150000,0xFD,,
1.7415550000,0x1E,,
1.7429900000,0x00,,
1.7444250000,0x0C,,
1.7460650000,0x01,,
1.7475000000,0x17,,
1.7490350000,0x0E,,
1.7505700000,0x26,,
1.7519150000,0x00,,
1.7617250000,0x53,,
1.7632550000,0xB0,,
1.7646900000,0x1B,,
1.7661350000,0x00,,
1.7676700000,0xFD,,
1.7692050000,0x1E,,
1.7707400000,0x00,,
1.7722800000,0x0C,,
1.7738100000,0x01,,
1.7750500000,0x17,,
1.7764950000,0x0E,,
1.7780300000,0x26,,
1.7794650000,0x00,,
1.7892750000,0x53,,
1.7907100000,0xB0,,
1.7922500000,0x1B,,
1.7935850000,0x00,,
1.7951200000,0xFD,,
1.7965650000,0x1E,,
1.7980000000,0x00,,
1.7994350000,0x0C,,
1.8008750000,0x01,,
1.8022150000,0x17,,
1.8037250000,0x0E,,
1.8051400000,0x26,,
1.8066600000,0x00,,
2.0008950000,0x53,,
2.0023350000,0xB0,,
2.0037700000,0x1B,,
2.0053050000,0x00,,
2.0067500000,0xFD,,
2.0082850000,0x1E,,
2.0098150000,0x00,,
2.0112600000,0x0C,,
2.0125950000,0x01,,
2.0142300000,0x16,,
2.0157600000,0x0E,,
2.0173050000,0x25,,
2.0187400000,0x00,,
2.0249050000,0x53,,
2.0262500000,0xB0,,
2.0278800000,0x1B,,
2.0294150000,0x00,,
2.0309500000,0xFD,,
2.0323900000,0x1E,,
