Time [s],Value,Parity Error,Framing Error
0.6704450000,0x53,,
0.6716850000,0xB0,,
0.6730300000,0x1B,,
0.6745650000,0x00,,
0.6760000000,0xFD,,
0.6775350000,0x1E,,
0.6787800000,0x00,,
0.6802150000,0x0C,,
0.6817500000,0x10,,
0.6830950000,0x10,,
0.6845300000,0x10,,
0.6857650000,0x30,,
0.6872000000,0x00,,
1.6448450000,0x53,,
1.6463800000,0xB0,,
1.6479150000,0x1B,,
1.6495500000,0x00,,
1.6510850000,0xFD,,
1.6526200000,0x1E,,
1.6541600000,0x00,,
1.6557950000,0x0C,,
1.6573250000,0x01,,
1.6588700000,0x11,,
1.6604000000,0x0E,,
1.6620350000,0x20,,
1.6634800000,0x00,,
2.6898700000,0x53,,
2.6914000000,0xB0,,
2.6927400000,0x1B,,
2.6942800000,0x00,,
2.6957150000,0xFD,,
2.6971500000,0x1E,,
2.6985950000,0x00,,
2.7001300000,0x0C,,
2.7015650000,0x10,,
2.7032000000,0x10,,
2.7043450000,0x10,,
2.7058750000,0x30,,
2.7074100000,0x00,,
4.0466700000,0x53,,
4.0482050000,0xB0,,
4.0497500000,0x1B,,
4.0513800000,0x00,,
4.0529150000,0xFD,,
4.0544550000,0x1E,,
4.0558900000,0x00,,
4.0574250000,0x0C,,
4.0590650000,0x01,,
4.0606000000,0x11,,
4.0621300000,0x0E,,
4.0637650000,0x20,,
4.0653050000,0x00,,
